date_str,sp500,djia,date_ex1,date_ex2,date_ex3,date,diff_sp500,lag_sp500,growth_sp500,diff_date,count_days,diff_djia,lag_djia,growth_djia
4/24/2018,2634.56,24024.13,April 24 2018,"Tuesday, 2018-04-24",24-Apr-18,4/24/2018,-35.73,2670.29,-1.338056915,1 days,1,-424.56,24448.69,-1.736534759
4/25/2018,2639.4,24083.83,April 25 2018,"Wednesday, 2018-04-25",25-Apr-18,4/25/2018,4.84,2634.56,0.183711891,1 days,1,59.7,24024.13,0.248500154
4/26/2018,2666.94,24322.34,April 26 2018,"Thursday, 2018-04-26",26-Apr-18,4/26/2018,27.54,2639.4,1.043418959,1 days,1,238.51,24083.83,0.990332518
4/27/2018,2669.91,24311.19,April 27 2018,"Friday, 2018-04-27",27-Apr-18,4/27/2018,2.97,2666.94,0.111363585,1 days,1,-11.15,24322.34,-0.045842629
4/30/2018,2648.05,24163.15,April 30 2018,"Monday, 2018-04-30",30-Apr-18,4/30/2018,-21.86,2669.91,-0.81875419,3 days,3,-148.04,24311.19,-0.608937695
5/1/2018,2654.8,24099.05,May 01 2018,"Tuesday, 2018-05-01",1-May-18,5/1/2018,6.75,2648.05,0.254904552,1 days,1,-64.1,24163.15,-0.265279982
5/2/2018,2635.67,23924.98,May 02 2018,"Wednesday, 2018-05-02",2-May-18,5/2/2018,-19.13,2654.8,-0.720581588,1 days,1,-174.07,24099.05,-0.722310631
5/3/2018,2629.73,23930.15,May 03 2018,"Thursday, 2018-05-03",3-May-18,5/3/2018,-5.94,2635.67,-0.22536964,1 days,1,5.17,23924.98,0.021609213
5/4/2018,2663.42,24262.51,May 04 2018,"Friday, 2018-05-04",4-May-18,5/4/2018,33.69,2629.73,1.281120115,1 days,1,332.36,23930.15,1.38887554
5/7/2018,2672.63,24357.32,May 07 2018,"Monday, 2018-05-07",7-May-18,5/7/2018,9.21,2663.42,0.345796007,3 days,3,94.81,24262.51,0.390767484
5/8/2018,2671.92,24360.21,May 08 2018,"Tuesday, 2018-05-08",8-May-18,5/8/2018,-0.71,2672.63,-0.026565593,1 days,1,2.89,24357.32,0.011865016
5/9/2018,2697.79,24542.54,May 09 2018,"Wednesday, 2018-05-09",9-May-18,5/9/2018,25.87,2671.92,0.968217611,1 days,1,182.33,24360.21,0.748474664
5/10/2018,2723.07,24739.53,May 10 2018,"Thursday, 2018-05-10",10-May-18,5/10/2018,25.28,2697.79,0.9370633,1 days,1,196.99,24542.54,0.802647159
5/11/2018,2727.72,24831.17,May 11 2018,"Friday, 2018-05-11",11-May-18,5/11/2018,4.65,2723.07,0.170763146,1 days,1,91.64,24739.53,0.370419325
5/14/2018,2730.13,24899.41,May 14 2018,"Monday, 2018-05-14",14-May-18,5/14/2018,2.41,2727.72,0.088352177,3 days,3,68.24,24831.17,0.274815887
5/15/2018,2711.45,24706.41,May 15 2018,"Tuesday, 2018-05-15",15-May-18,5/15/2018,-18.68,2730.13,-0.684216503,1 days,1,-193,24899.41,-0.775118768
5/16/2018,2722.46,24768.93,May 16 2018,"Wednesday, 2018-05-16",16-May-18,5/16/2018,11.01,2711.45,0.4060558,1 days,1,62.52,24706.41,0.253051738
5/17/2018,2720.13,24713.98,May 17 2018,"Thursday, 2018-05-17",17-May-18,5/17/2018,-2.33,2722.46,-0.085584361,1 days,1,-54.95,24768.93,-0.22185052
5/18/2018,2712.97,24715.09,May 18 2018,"Friday, 2018-05-18",18-May-18,5/18/2018,-7.16,2720.13,-0.263222714,1 days,1,1.11,24713.98,0.004491385
5/21/2018,2733.01,25013.29,May 21 2018,"Monday, 2018-05-21",21-May-18,5/21/2018,20.04,2712.97,0.738673852,3 days,3,298.2,24715.09,1.20655033
5/22/2018,2724.44,24834.41,May 22 2018,"Tuesday, 2018-05-22",22-May-18,5/22/2018,-8.57,2733.01,-0.313573679,1 days,1,-178.88,25013.29,-0.715139832
5/23/2018,2733.29,24886.81,May 23 2018,"Wednesday, 2018-05-23",23-May-18,5/23/2018,8.85,2724.44,0.324837398,1 days,1,52.4,24834.41,0.210997563
5/24/2018,2727.76,24811.76,May 24 2018,"Thursday, 2018-05-24",24-May-18,5/24/2018,-5.53,2733.29,-0.202320281,1 days,1,-75.05,24886.81,-0.301565367
5/25/2018,2721.33,24753.09,May 25 2018,"Friday, 2018-05-25",25-May-18,5/25/2018,-6.43,2727.76,-0.235724551,1 days,1,-58.67,24811.76,-0.236460453
5/28/2018,,,May 28 2018,"Monday, 2018-05-28",28-May-18,5/28/2018,,2721.33,,3 days,3,,24753.09,
5/29/2018,2689.86,24361.45,May 29 2018,"Tuesday, 2018-05-29",29-May-18,5/29/2018,,,,1 days,1,,,
5/30/2018,2724.01,24667.78,May 30 2018,"Wednesday, 2018-05-30",30-May-18,5/30/2018,34.15,2689.86,1.269582804,1 days,1,306.33,24361.45,1.257437468
5/31/2018,2705.27,24415.84,May 31 2018,"Thursday, 2018-05-31",31-May-18,5/31/2018,-18.74,2724.01,-0.687956358,1 days,1,-251.94,24667.78,-1.02133228
6/1/2018,2734.62,24635.21,June 01 2018,"Friday, 2018-06-01",1-Jun-18,6/1/2018,29.35,2705.27,1.084919435,1 days,1,219.37,24415.84,0.898474105
6/4/2018,2746.87,24813.69,June 04 2018,"Monday, 2018-06-04",4-Jun-18,6/4/2018,12.25,2734.62,0.447959863,3 days,3,178.48,24635.21,0.72449149
6/5/2018,2748.8,24799.98,June 05 2018,"Tuesday, 2018-06-05",5-Jun-18,6/5/2018,1.93,2746.87,0.070261789,1 days,1,-13.71,24813.69,-0.055251758
6/6/2018,2772.35,25146.39,June 06 2018,"Wednesday, 2018-06-06",6-Jun-18,6/6/2018,23.55,2748.8,0.856737485,1 days,1,346.41,24799.98,1.396815643
6/7/2018,2770.37,25241.41,June 07 2018,"Thursday, 2018-06-07",7-Jun-18,6/7/2018,-1.98,2772.35,-0.071419554,1 days,1,95.02,25146.39,0.37786736
6/8/2018,2779.03,25316.53,June 08 2018,"Friday, 2018-06-08",8-Jun-18,6/8/2018,8.66,2770.37,0.312593625,1 days,1,75.12,25241.41,0.297606196
6/11/2018,2782,25322.31,June 11 2018,"Monday, 2018-06-11",11-Jun-18,6/11/2018,2.97,2779.03,0.106871822,3 days,3,5.78,25316.53,0.022830933
6/12/2018,2786.85,25320.73,June 12 2018,"Tuesday, 2018-06-12",12-Jun-18,6/12/2018,4.85,2782,0.174335011,1 days,1,-1.58,25322.31,-0.006239557
6/13/2018,2775.63,25201.2,June 13 2018,"Wednesday, 2018-06-13",13-Jun-18,6/13/2018,-11.22,2786.85,-0.402605092,1 days,1,-119.53,25320.73,-0.472063799
6/14/2018,2782.49,25175.31,June 14 2018,"Thursday, 2018-06-14",14-Jun-18,6/14/2018,6.86,2775.63,0.247151097,1 days,1,-25.89,25201.2,-0.102733203
6/15/2018,2779.66,25090.48,June 15 2018,"Friday, 2018-06-15",15-Jun-18,6/15/2018,-2.83,2782.49,-0.101707463,1 days,1,-84.83,25175.31,-0.336957122
6/18/2018,2773.75,24987.47,June 18 2018,"Monday, 2018-06-18",18-Jun-18,6/18/2018,-5.91,2779.66,-0.212615931,3 days,3,-103.01,25090.48,-0.410554123
6/19/2018,2762.59,24700.21,June 19 2018,"Tuesday, 2018-06-19",19-Jun-18,6/19/2018,-11.16,2773.75,-0.402343398,1 days,1,-287.26,24987.47,-1.149616188
6/20/2018,2767.32,24657.8,June 20 2018,"Wednesday, 2018-06-20",20-Jun-18,6/20/2018,4.73,2762.59,0.171216141,1 days,1,-42.41,24700.21,-0.171698945
6/21/2018,2749.76,24461.7,June 21 2018,"Thursday, 2018-06-21",21-Jun-18,6/21/2018,-17.56,2767.32,-0.63454895,1 days,1,-196.1,24657.8,-0.795285873
6/22/2018,2754.88,24580.89,June 22 2018,"Friday, 2018-06-22",22-Jun-18,6/22/2018,5.12,2749.76,0.186198068,1 days,1,119.19,24461.7,0.487251499
6/25/2018,2717.07,24252.8,June 25 2018,"Monday, 2018-06-25",25-Jun-18,6/25/2018,-37.81,2754.88,-1.372473574,3 days,3,-328.09,24580.89,-1.334736049
6/26/2018,2723.06,24283.11,June 26 2018,"Tuesday, 2018-06-26",26-Jun-18,6/26/2018,5.99,2717.07,0.220458067,1 days,1,30.31,24252.8,0.124975261
6/27/2018,2699.63,24117.59,June 27 2018,"Wednesday, 2018-06-27",27-Jun-18,6/27/2018,-23.43,2723.06,-0.860429076,1 days,1,-165.52,24283.11,-0.681626036
6/28/2018,2716.31,24216.05,June 28 2018,"Thursday, 2018-06-28",28-Jun-18,6/28/2018,16.68,2699.63,0.617862448,1 days,1,98.46,24117.59,0.408249746
6/29/2018,2718.37,24271.41,June 29 2018,"Friday, 2018-06-29",29-Jun-18,6/29/2018,2.06,2716.31,0.075838178,1 days,1,55.36,24216.05,0.228608712
7/2/2018,2726.71,24307.18,July 02 2018,"Monday, 2018-07-02",2-Jul-18,7/2/2018,8.34,2718.37,0.306801502,3 days,3,35.77,24271.41,0.147375039
7/3/2018,2713.22,24174.82,July 03 2018,"Tuesday, 2018-07-03",3-Jul-18,7/3/2018,-13.49,2726.71,-0.494735414,1 days,1,-132.36,24307.18,-0.544530464
7/4/2018,,,July 04 2018,"Wednesday, 2018-07-04",4-Jul-18,7/4/2018,,2713.22,,1 days,1,,24174.82,
7/5/2018,2736.61,24356.74,July 05 2018,"Thursday, 2018-07-05",5-Jul-18,7/5/2018,,,,1 days,1,,,
7/6/2018,2759.82,24456.48,July 06 2018,"Friday, 2018-07-06",6-Jul-18,7/6/2018,23.21,2736.61,0.84812962,1 days,1,99.74,24356.74,0.409496509
7/9/2018,2784.17,24776.59,July 09 2018,"Monday, 2018-07-09",9-Jul-18,7/9/2018,24.35,2759.82,0.882303918,3 days,3,320.11,24456.48,1.308896456
7/10/2018,2793.84,24919.66,July 10 2018,"Tuesday, 2018-07-10",10-Jul-18,7/10/2018,9.67,2784.17,0.347320746,1 days,1,143.07,24776.59,0.577440237
7/11/2018,2774.02,24700.45,July 11 2018,"Wednesday, 2018-07-11",11-Jul-18,7/11/2018,-19.82,2793.84,-0.709417862,1 days,1,-219.21,24919.66,-0.879666898
7/12/2018,2798.29,24924.89,July 12 2018,"Thursday, 2018-07-12",12-Jul-18,7/12/2018,24.27,2774.02,0.87490357,1 days,1,224.44,24700.45,0.908647413
7/13/2018,2801.31,25019.41,July 13 2018,"Friday, 2018-07-13",13-Jul-18,7/13/2018,3.02,2798.29,0.107923053,1 days,1,94.52,24924.89,0.379219327
7/16/2018,2798.43,25064.36,July 16 2018,"Monday, 2018-07-16",16-Jul-18,7/16/2018,-2.88,2801.31,-0.102809043,3 days,3,44.95,25019.41,0.179660512
7/17/2018,2809.55,25119.89,July 17 2018,"Tuesday, 2018-07-17",17-Jul-18,7/17/2018,11.12,2798.43,0.397365666,1 days,1,55.53,25064.36,0.221549643
7/18/2018,2815.62,25199.29,July 18 2018,"Wednesday, 2018-07-18",18-Jul-18,7/18/2018,6.07,2809.55,0.216048833,1 days,1,79.4,25119.89,0.316084187
7/19/2018,2804.49,25064.5,July 19 2018,"Thursday, 2018-07-19",19-Jul-18,7/19/2018,-11.13,2815.62,-0.39529482,1 days,1,-134.79,25199.29,-0.534896023
7/20/2018,2801.83,25058.12,July 20 2018,"Friday, 2018-07-20",20-Jul-18,7/20/2018,-2.66,2804.49,-0.094847905,1 days,1,-6.38,25064.5,-0.025454328
7/23/2018,2806.98,25044.29,July 23 2018,"Monday, 2018-07-23",23-Jul-18,7/23/2018,5.15,2801.83,0.183808439,3 days,3,-13.83,25058.12,-0.05519169
7/24/2018,2820.4,25241.94,July 24 2018,"Tuesday, 2018-07-24",24-Jul-18,7/24/2018,13.42,2806.98,0.478093895,1 days,1,197.65,25044.29,0.78920185
7/25/2018,2846.07,25414.1,July 25 2018,"Wednesday, 2018-07-25",25-Jul-18,7/25/2018,25.67,2820.4,0.910154588,1 days,1,172.16,25241.94,0.682039495
7/26/2018,2837.44,25527.07,July 26 2018,"Thursday, 2018-07-26",26-Jul-18,7/26/2018,-8.63,2846.07,-0.303225149,1 days,1,112.97,25414.1,0.44451702
7/27/2018,2818.82,25451.06,July 27 2018,"Friday, 2018-07-27",27-Jul-18,7/27/2018,-18.62,2837.44,-0.65622533,1 days,1,-76.01,25527.07,-0.297762336
7/30/2018,2802.6,25306.83,July 30 2018,"Monday, 2018-07-30",30-Jul-18,7/30/2018,-16.22,2818.82,-0.575418083,3 days,3,-144.23,25451.06,-0.566695454
7/31/2018,2816.29,25415.19,July 31 2018,"Tuesday, 2018-07-31",31-Jul-18,7/31/2018,13.69,2802.6,0.488474988,1 days,1,108.36,25306.83,0.428184802
8/1/2018,2813.36,25333.82,August 01 2018,"Wednesday, 2018-08-01",1-Aug-18,8/1/2018,-2.93,2816.29,-0.104037581,1 days,1,-81.37,25415.19,-0.320162863
8/2/2018,2827.22,25326.16,August 02 2018,"Thursday, 2018-08-02",2-Aug-18,8/2/2018,13.86,2813.36,0.492649359,1 days,1,-7.66,25333.82,-0.030236261
8/3/2018,2840.35,25462.58,August 03 2018,"Friday, 2018-08-03",3-Aug-18,8/3/2018,13.13,2827.22,0.464413806,1 days,1,136.42,25326.16,0.538652524
8/6/2018,2850.4,25502.18,August 06 2018,"Monday, 2018-08-06",6-Aug-18,8/6/2018,10.05,2840.35,0.353829634,3 days,3,39.6,25462.58,0.155522339
8/7/2018,2858.45,25628.91,August 07 2018,"Tuesday, 2018-08-07",7-Aug-18,8/7/2018,8.05,2850.4,0.282416503,1 days,1,126.73,25502.18,0.496937909
8/8/2018,2857.7,25583.75,August 08 2018,"Wednesday, 2018-08-08",8-Aug-18,8/8/2018,-0.75,2858.45,-0.026237996,1 days,1,-45.16,25628.91,-0.17620726
8/9/2018,2853.58,25509.23,August 09 2018,"Thursday, 2018-08-09",9-Aug-18,8/9/2018,-4.12,2857.7,-0.144171886,1 days,1,-74.52,25583.75,-0.291278644
8/10/2018,2833.28,25313.14,August 10 2018,"Friday, 2018-08-10",10-Aug-18,8/10/2018,-20.3,2853.58,-0.7113871,1 days,1,-196.09,25509.23,-0.768702152
8/13/2018,2821.93,25187.7,August 13 2018,"Monday, 2018-08-13",13-Aug-18,8/13/2018,-11.35,2833.28,-0.400595776,3 days,3,-125.44,25313.14,-0.495552903
8/14/2018,2839.96,25299.92,August 14 2018,"Tuesday, 2018-08-14",14-Aug-18,8/14/2018,18.03,2821.93,0.638924424,1 days,1,112.22,25187.7,0.445534924
8/15/2018,2818.37,25162.41,August 15 2018,"Wednesday, 2018-08-15",15-Aug-18,8/15/2018,-21.59,2839.96,-0.760221975,1 days,1,-137.51,25299.92,-0.543519505
8/16/2018,2840.69,25558.73,August 16 2018,"Thursday, 2018-08-16",16-Aug-18,8/16/2018,22.32,2818.37,0.791947118,1 days,1,396.32,25162.41,1.575047859
8/17/2018,2850.13,25669.32,August 17 2018,"Friday, 2018-08-17",17-Aug-18,8/17/2018,9.44,2840.69,0.332313628,1 days,1,110.59,25558.73,0.432689731
8/20/2018,2857.05,25758.69,August 20 2018,"Monday, 2018-08-20",20-Aug-18,8/20/2018,6.92,2850.13,0.242795943,3 days,3,89.37,25669.32,0.348158814
8/21/2018,2862.96,25822.29,August 21 2018,"Tuesday, 2018-08-21",21-Aug-18,8/21/2018,5.91,2857.05,0.206856723,1 days,1,63.6,25758.69,0.246906966
8/22/2018,2861.82,25733.6,August 22 2018,"Wednesday, 2018-08-22",22-Aug-18,8/22/2018,-1.14,2862.96,-0.039818929,1 days,1,-88.69,25822.29,-0.343462954
8/23/2018,2856.98,25656.98,August 23 2018,"Thursday, 2018-08-23",23-Aug-18,8/23/2018,-4.84,2861.82,-0.169123145,1 days,1,-76.62,25733.6,-0.297743029
8/24/2018,2874.69,25790.35,August 24 2018,"Friday, 2018-08-24",24-Aug-18,8/24/2018,17.71,2856.98,0.619885333,1 days,1,133.37,25656.98,0.519819558
8/27/2018,2896.74,26049.64,August 27 2018,"Monday, 2018-08-27",27-Aug-18,8/27/2018,22.05,2874.69,0.767039229,3 days,3,259.29,25790.35,1.005376042
8/28/2018,2897.52,26064.02,August 28 2018,"Tuesday, 2018-08-28",28-Aug-18,8/28/2018,0.78,2896.74,0.026926821,1 days,1,14.38,26049.64,0.055202298
8/29/2018,2914.04,26124.57,August 29 2018,"Wednesday, 2018-08-29",29-Aug-18,8/29/2018,16.52,2897.52,0.570142743,1 days,1,60.55,26064.02,0.23231259
8/30/2018,2901.13,25986.92,August 30 2018,"Thursday, 2018-08-30",30-Aug-18,8/30/2018,-12.91,2914.04,-0.443027549,1 days,1,-137.65,26124.57,-0.526898625
8/31/2018,2901.52,25964.82,August 31 2018,"Friday, 2018-08-31",31-Aug-18,8/31/2018,0.39,2901.13,0.013443038,1 days,1,-22.1,25986.92,-0.085042783
9/3/2018,,,September 03 2018,"Monday, 2018-09-03",3-Sep-18,9/3/2018,,2901.52,,3 days,3,,25964.82,
9/4/2018,2896.72,25952.48,September 04 2018,"Tuesday, 2018-09-04",4-Sep-18,9/4/2018,,,,1 days,1,,,
9/5/2018,2888.6,25974.99,September 05 2018,"Wednesday, 2018-09-05",5-Sep-18,9/5/2018,-8.12,2896.72,-0.280317048,1 days,1,22.51,25952.48,0.086735449
9/6/2018,2878.05,25995.87,September 06 2018,"Thursday, 2018-09-06",6-Sep-18,9/6/2018,-10.55,2888.6,-0.365228831,1 days,1,20.88,25974.99,0.080385017
9/7/2018,2871.68,25916.54,September 07 2018,"Friday, 2018-09-07",7-Sep-18,9/7/2018,-6.37,2878.05,-0.221330415,1 days,1,-79.33,25995.87,-0.305163859
9/10/2018,2877.13,25857.07,September 10 2018,"Monday, 2018-09-10",10-Sep-18,9/10/2018,5.45,2871.68,0.189784377,3 days,3,-59.47,25916.54,-0.229467359
9/11/2018,2887.89,25971.06,September 11 2018,"Tuesday, 2018-09-11",11-Sep-18,9/11/2018,10.76,2877.13,0.373983796,1 days,1,113.99,25857.07,0.440846546
9/12/2018,2888.92,25998.92,September 12 2018,"Wednesday, 2018-09-12",12-Sep-18,9/12/2018,1.03,2887.89,0.035666178,1 days,1,27.86,25971.06,0.10727325
9/13/2018,2904.18,26145.99,September 13 2018,"Thursday, 2018-09-13",13-Sep-18,9/13/2018,15.26,2888.92,0.528225081,1 days,1,147.07,25998.92,0.565677344
9/14/2018,2904.98,26154.67,September 14 2018,"Friday, 2018-09-14",14-Sep-18,9/14/2018,0.8,2904.18,0.027546502,1 days,1,8.68,26145.99,0.033198207
9/17/2018,2888.8,26062.12,September 17 2018,"Monday, 2018-09-17",17-Sep-18,9/17/2018,-16.18,2904.98,-0.556974575,3 days,3,-92.55,26154.67,-0.353856501
9/18/2018,2904.31,26246.96,September 18 2018,"Tuesday, 2018-09-18",18-Sep-18,9/18/2018,15.51,2888.8,0.536901135,1 days,1,184.84,26062.12,0.709228566
9/19/2018,2907.95,26405.76,September 19 2018,"Wednesday, 2018-09-19",19-Sep-18,9/19/2018,3.64,2904.31,0.125330974,1 days,1,158.8,26246.96,0.605022448
9/20/2018,2930.75,26656.98,September 20 2018,"Thursday, 2018-09-20",20-Sep-18,9/20/2018,22.8,2907.95,0.784057498,1 days,1,251.22,26405.76,0.951383335
9/21/2018,2929.67,26743.5,September 21 2018,"Friday, 2018-09-21",21-Sep-18,9/21/2018,-1.08,2930.75,-0.036850636,1 days,1,86.52,26656.98,0.324567899
9/24/2018,2919.37,26562.05,September 24 2018,"Monday, 2018-09-24",24-Sep-18,9/24/2018,-10.3,2929.67,-0.351575433,3 days,3,-181.45,26743.5,-0.678482622
9/25/2018,2915.56,26492.21,September 25 2018,"Tuesday, 2018-09-25",25-Sep-18,9/25/2018,-3.81,2919.37,-0.13050761,1 days,1,-69.84,26562.05,-0.262931513
9/26/2018,2905.97,26385.28,September 26 2018,"Wednesday, 2018-09-26",26-Sep-18,9/26/2018,-9.59,2915.56,-0.328924803,1 days,1,-106.93,26492.21,-0.403628085
9/27/2018,2914,26439.93,September 27 2018,"Thursday, 2018-09-27",27-Sep-18,9/27/2018,8.03,2905.97,0.276327698,1 days,1,54.65,26385.28,0.207123063
9/28/2018,2913.98,26458.31,September 28 2018,"Friday, 2018-09-28",28-Sep-18,9/28/2018,-0.02,2914,-0.000686342,1 days,1,18.38,26439.93,0.069516069
10/1/2018,2924.59,26651.21,October 01 2018,"Monday, 2018-10-01",1-Oct-18,10/1/2018,10.61,2913.98,0.364106823,3 days,3,192.9,26458.31,0.729071509
10/2/2018,2923.43,26773.94,October 02 2018,"Tuesday, 2018-10-02",2-Oct-18,10/2/2018,-1.16,2924.59,-0.039663679,1 days,1,122.73,26651.21,0.46050442
10/3/2018,2925.51,26828.39,October 03 2018,"Wednesday, 2018-10-03",3-Oct-18,10/3/2018,2.08,2923.43,0.071149301,1 days,1,54.45,26773.94,0.203369396
10/4/2018,2901.61,26627.48,October 04 2018,"Thursday, 2018-10-04",4-Oct-18,10/4/2018,-23.9,2925.51,-0.816951574,1 days,1,-200.91,26828.39,-0.748870879
10/5/2018,2885.57,26447.05,October 05 2018,"Friday, 2018-10-05",5-Oct-18,10/5/2018,-16.04,2901.61,-0.552796551,1 days,1,-180.43,26627.48,-0.677608245
10/8/2018,2884.43,26486.78,October 08 2018,"Monday, 2018-10-08",8-Oct-18,10/8/2018,-1.14,2885.57,-0.039506926,3 days,3,39.73,26447.05,0.150224694
10/9/2018,2880.34,26430.57,October 09 2018,"Tuesday, 2018-10-09",9-Oct-18,10/9/2018,-4.09,2884.43,-0.141795779,1 days,1,-56.21,26486.78,-0.212219077
10/10/2018,2785.68,25598.74,October 10 2018,"Wednesday, 2018-10-10",10-Oct-18,10/10/2018,-94.66,2880.34,-3.286417576,1 days,1,-831.83,26430.57,-3.147226866
10/11/2018,2728.37,25052.83,October 11 2018,"Thursday, 2018-10-11",11-Oct-18,10/11/2018,-57.31,2785.68,-2.057307372,1 days,1,-545.91,25598.74,-2.1325659
10/12/2018,2767.13,25339.99,October 12 2018,"Friday, 2018-10-12",12-Oct-18,10/12/2018,38.76,2728.37,1.420628434,1 days,1,287.16,25052.83,1.146217813
10/15/2018,2750.79,25250.55,October 15 2018,"Monday, 2018-10-15",15-Oct-18,10/15/2018,-16.34,2767.13,-0.590503518,3 days,3,-89.44,25339.99,-0.352959887
10/16/2018,2809.92,25798.42,October 16 2018,"Tuesday, 2018-10-16",16-Oct-18,10/16/2018,59.13,2750.79,2.149564307,1 days,1,547.87,25250.55,2.169734917
10/17/2018,2809.21,25706.68,October 17 2018,"Wednesday, 2018-10-17",17-Oct-18,10/17/2018,-0.71,2809.92,-0.025267623,1 days,1,-91.74,25798.42,-0.355603173
10/18/2018,2768.78,25379.45,October 18 2018,"Thursday, 2018-10-18",18-Oct-18,10/18/2018,-40.43,2809.21,-1.439194649,1 days,1,-327.23,25706.68,-1.272937618
10/19/2018,2767.78,25444.34,October 19 2018,"Friday, 2018-10-19",19-Oct-18,10/19/2018,-1,2768.78,-0.03611699,1 days,1,64.89,25379.45,0.2556793
10/22/2018,2755.88,25317.41,October 22 2018,"Monday, 2018-10-22",22-Oct-18,10/22/2018,-11.9,2767.78,-0.429947467,3 days,3,-126.93,25444.34,-0.498853576
10/23/2018,2740.69,25191.43,October 23 2018,"Tuesday, 2018-10-23",23-Oct-18,10/23/2018,-15.19,2755.88,-0.551185102,1 days,1,-125.98,25317.41,-0.497602243
10/24/2018,2656.1,24583.42,October 24 2018,"Wednesday, 2018-10-24",24-Oct-18,10/24/2018,-84.59,2740.69,-3.086449033,1 days,1,-608.01,25191.43,-2.413558897
10/25/2018,2705.57,24984.55,October 25 2018,"Thursday, 2018-10-25",25-Oct-18,10/25/2018,49.47,2656.1,1.862505177,1 days,1,401.13,24583.42,1.631709502
10/26/2018,2658.69,24688.31,October 26 2018,"Friday, 2018-10-26",26-Oct-18,10/26/2018,-46.88,2705.57,-1.732721755,1 days,1,-296.24,24984.55,-1.185692758
10/29/2018,2641.25,24442.92,October 29 2018,"Monday, 2018-10-29",29-Oct-18,10/29/2018,-17.44,2658.69,-0.655962147,3 days,3,-245.39,24688.31,-0.993952198
10/30/2018,2682.63,24874.64,October 30 2018,"Tuesday, 2018-10-30",30-Oct-18,10/30/2018,41.38,2641.25,1.566682442,1 days,1,431.72,24442.92,1.766237422
10/31/2018,2711.74,25115.76,October 31 2018,"Wednesday, 2018-10-31",31-Oct-18,10/31/2018,29.11,2682.63,1.085129146,1 days,1,241.12,24874.64,0.969340662
11/1/2018,2740.37,25380.74,November 01 2018,"Thursday, 2018-11-01",1-Nov-18,11/1/2018,28.63,2711.74,1.055779684,1 days,1,264.98,25115.76,1.055034767
11/2/2018,2723.06,25270.83,November 02 2018,"Friday, 2018-11-02",2-Nov-18,11/2/2018,-17.31,2740.37,-0.631666527,1 days,1,-109.91,25380.74,-0.433044899
11/5/2018,2738.31,25461.7,November 05 2018,"Monday, 2018-11-05",5-Nov-18,11/5/2018,15.25,2723.06,0.560031729,3 days,3,190.87,25270.83,0.755297709
11/6/2018,2755.45,25635.01,November 06 2018,"Tuesday, 2018-11-06",6-Nov-18,11/6/2018,17.14,2738.31,0.625933514,1 days,1,173.31,25461.7,0.680669398
