date_string,usd_to_rmb,usd_to_jpy
"1981, Tuesday, Jun 23",1.7511,221.8
"1981, Wednesday, Jun 24",1.7511,222.8
"1981, Thursday, Jun 25",1.7511,225.45
"1981, Friday, Jun 26",1.7511,224.85
"1981, Monday, Jun 29",1.7511,225.85
"1981, Tuesday, Jun 30",1.7511,226.85
"1981, Wednesday, Jul 01",1.7511,228.25
"1981, Thursday, Jul 02",1.7616,226.75
"1981, Friday, Jul 03",1.7616,228.5
"1981, Monday, Jul 06",1.7616,229.83
"1981, Tuesday, Jul 07",1.7686,228.75
"1981, Wednesday, Jul 08",1.7686,229.45
"1981, Thursday, Jul 09",1.7686,228.85
"1981, Friday, Jul 10",1.7686,228.3
"1981, Monday, Jul 13",1.7598,228.3
"1981, Tuesday, Jul 14",1.751,231.0
"1981, Wednesday, Jul 15",1.7598,230.6
"1981, Thursday, Jul 16",1.751,231.28
"1981, Friday, Jul 17",1.751,231.97
"1981, Monday, Jul 20",1.7597,233.0
"1981, Tuesday, Jul 21",1.7667,234.35
"1981, Wednesday, Jul 22",1.7667,234.5
"1981, Thursday, Jul 23",1.7667,234.9
"1981, Friday, Jul 24",1.7667,234.52
"1981, Monday, Jul 27",1.7667,236.1
"1981, Tuesday, Jul 28",1.7755,237.25
"1981, Wednesday, Jul 29",1.7755,237.85
"1981, Thursday, Jul 30",1.7755,238.8
"1981, Friday, Jul 31",1.7845,240.4
"1981, Monday, Aug 03",1.7934,245.4
"1981, Tuesday, Aug 04",1.8113,246.1
"1981, Wednesday, Aug 05",1.8113,240.9
"1981, Thursday, Aug 06",1.8041,239.9
"1981, Friday, Aug 07",1.8149,234.9
"1981, Monday, Aug 10",1.8367,236.1
"1981, Tuesday, Aug 11",1.8367,235.75
"1981, Wednesday, Aug 12",1.8092,230.2
"1981, Thursday, Aug 13",1.8092,231.7
"1981, Friday, Aug 14",1.8218,233.75
"1981, Monday, Aug 17",1.8,229.8
"1981, Tuesday, Aug 18",1.8,229.2
"1981, Wednesday, Aug 19",1.791,230.35
"1981, Thursday, Aug 20",1.791,228.9
"1981, Friday, Aug 21",1.773,227.25
"1981, Monday, Aug 24",1.7872,228.4
"1981, Tuesday, Aug 25",1.7997,230.6
"1981, Wednesday, Aug 26",1.7853,230.1
"1981, Thursday, Aug 27",1.7853,230.95
"1981, Friday, Aug 28",1.7727,229.1
"1981, Monday, Aug 31",1.7727,230.5
"1981, Tuesday, Sep 01",1.7815,230.95
"1981, Wednesday, Sep 02",1.7815,229.7
"1981, Thursday, Sep 03",1.7673,230.4
"1981, Friday, Sep 04",1.7673,229.7
"1981, Monday, Sep 07",,
"1981, Tuesday, Sep 08",1.7673,232.5
"1981, Wednesday, Sep 09",1.7796,233.8
"1981, Thursday, Sep 10",1.7686,230.9
"1981, Friday, Sep 11",1.7689,231.35
"1981, Monday, Sep 14",1.7565,230.2
"1981, Tuesday, Sep 15",1.7319,225.7
"1981, Wednesday, Sep 16",1.7319,226.95
"1981, Thursday, Sep 17",1.7233,226.3
"1981, Friday, Sep 18",1.7233,226.3
"1981, Monday, Sep 21",1.7233,224.2
"1981, Tuesday, Sep 22",1.7181,226.8
"1981, Wednesday, Sep 23",1.7404,227.9
"1981, Thursday, Sep 24",1.7492,229.1
"1981, Friday, Sep 25",1.7579,229.7
"1981, Monday, Sep 28",1.7667,232.45
"1981, Tuesday, Sep 29",1.7614,231.9
"1981, Wednesday, Sep 30",1.7719,232.3
"1981, Thursday, Oct 01",1.7719,233.1
"1981, Friday, Oct 02",1.7719,232.05
"1981, Monday, Oct 05",1.7525,227.6
"1981, Tuesday, Oct 06",1.7525,230.4
"1981, Wednesday, Oct 07",1.7507,228.5
"1981, Thursday, Oct 08",1.7366,228.35
"1981, Friday, Oct 09",1.7297,226.55
"1981, Monday, Oct 12",,
"1981, Tuesday, Oct 13",1.7297,228.6
"1981, Wednesday, Oct 14",1.7383,228.75
"1981, Thursday, Oct 15",1.7383,230.6
"1981, Friday, Oct 16",1.7506,230.6
"1981, Monday, Oct 19",1.7505,232.35
"1981, Tuesday, Oct 20",1.7505,232.7
"1981, Wednesday, Oct 21",1.7575,233.7
"1981, Thursday, Oct 22",1.768,233.65
"1981, Friday, Oct 23",1.768,232.3
"1981, Monday, Oct 26",1.768,236.15
"1981, Tuesday, Oct 27",1.7857,234.75
"1981, Wednesday, Oct 28",1.7857,234.05
"1981, Thursday, Oct 29",1.7857,234.35
"1981, Friday, Oct 30",1.7678,232.8
"1981, Monday, Nov 02",1.7502,229.15
"1981, Tuesday, Nov 03",,
"1981, Wednesday, Nov 04",1.7502,227.3
"1981, Thursday, Nov 05",1.7502,228.5
"1981, Friday, Nov 06",1.7502,229.05
"1981, Monday, Nov 09",1.7414,226.78
"1981, Tuesday, Nov 10",1.7414,229.85
"1981, Wednesday, Nov 11",,
"1981, Thursday, Nov 12",1.7484,227.25
"1981, Friday, Nov 13",1.7343,227.35
"1981, Monday, Nov 16",1.7343,225.7
"1981, Tuesday, Nov 17",1.743,224.25
"1981, Wednesday, Nov 18",1.743,222.2
"1981, Thursday, Nov 19",1.7326,220.3
"1981, Friday, Nov 20",1.743,218.65
"1981, Monday, Nov 23",1.743,217.6
"1981, Tuesday, Nov 24",1.743,215.9
"1981, Wednesday, Nov 25",1.743,216.6
"1981, Thursday, Nov 26",,
"1981, Friday, Nov 27",1.7274,215.65
"1981, Monday, Nov 30",1.7171,214.2
"1981, Tuesday, Dec 01",1.7171,216.4
"1981, Wednesday, Dec 02",1.724,214.7
"1981, Thursday, Dec 03",1.724,216.65
"1981, Friday, Dec 04",1.724,216.5
"1981, Monday, Dec 07",1.724,217.55
"1981, Tuesday, Dec 08",1.724,218.0
"1981, Wednesday, Dec 09",1.736,218.4
"1981, Thursday, Dec 10",1.736,218.6
"1981, Friday, Dec 11",1.736,219.3
"1981, Monday, Dec 14",1.7517,220.75
"1981, Tuesday, Dec 15",1.7517,217.5
"1981, Wednesday, Dec 16",1.7429,218.3
"1981, Thursday, Dec 17",1.7429,218.45
"1981, Friday, Dec 18",1.7429,219.0
"1981, Monday, Dec 21",1.7569,220.05
"1981, Tuesday, Dec 22",1.7569,219.35
"1981, Wednesday, Dec 23",1.7499,220.7
"1981, Thursday, Dec 24",1.7499,222.1
"1981, Friday, Dec 25",,
"1981, Monday, Dec 28",1.7499,222.8
"1981, Tuesday, Dec 29",1.7499,222.3
"1981, Wednesday, Dec 30",1.7499,219.8
"1981, Thursday, Dec 31",1.7499,219.8
"1982, Friday, Jan 01",,
"1982, Monday, Jan 04",1.7499,218.75
"1982, Tuesday, Jan 05",1.7393,219.7
"1982, Wednesday, Jan 06",1.7481,219.6
"1982, Thursday, Jan 07",1.7481,222.0
"1982, Friday, Jan 08",1.7481,221.4
"1982, Monday, Jan 11",1.7481,223.3
"1982, Tuesday, Jan 12",1.7655,223.05
"1982, Wednesday, Jan 13",1.7655,224.35
"1982, Thursday, Jan 14",1.7655,224.5
"1982, Friday, Jan 15",1.7761,224.5
"1982, Monday, Jan 18",1.7868,225.35
"1982, Tuesday, Jan 19",1.7796,224.5
"1982, Wednesday, Jan 20",1.7796,225.5
"1982, Thursday, Jan 21",1.7796,225.65
"1982, Friday, Jan 22",1.7796,227.4
"1982, Monday, Jan 25",1.7904,229.4
"1982, Tuesday, Jan 26",1.7904,228.25
"1982, Wednesday, Jan 27",1.7904,229.6
"1982, Thursday, Jan 28",1.7975,231.0
"1982, Friday, Jan 29",1.7975,228.3
"1982, Monday, Feb 01",1.7895,232.6
"1982, Tuesday, Feb 02",1.8083,233.25
"1982, Wednesday, Feb 03",1.8155,234.8
"1982, Thursday, Feb 04",1.8155,233.15
"1982, Friday, Feb 05",1.8155,233.5
"1982, Monday, Feb 08",1.8155,234.75
"1982, Tuesday, Feb 09",1.8247,236.5
"1982, Wednesday, Feb 10",1.8247,236.35
"1982, Thursday, Feb 11",1.825,235.75
"1982, Friday, Feb 12",,
"1982, Monday, Feb 15",,
"1982, Tuesday, Feb 16",1.8247,240.65
"1982, Wednesday, Feb 17",1.8247,240.35
"1982, Thursday, Feb 18",1.8338,235.5
"1982, Friday, Feb 19",1.8227,233.6
"1982, Monday, Feb 22",1.8136,232.1
"1982, Tuesday, Feb 23",1.8136,234.9
"1982, Wednesday, Feb 24",1.8282,234.45
"1982, Thursday, Feb 25",1.8282,236.05
"1982, Friday, Feb 26",1.8355,237.25
"1982, Monday, Mar 01",1.8447,238.3
"1982, Tuesday, Mar 02",1.8447,237.7
"1982, Wednesday, Mar 03",1.8355,236.6
"1982, Thursday, Mar 04",1.8335,236.55
"1982, Friday, Mar 05",1.8263,233.9
"1982, Monday, Mar 08",1.8171,234.3
"1982, Tuesday, Mar 09",1.8171,237.55
"1982, Wednesday, Mar 10",1.8299,237.25
"1982, Thursday, Mar 11",1.8229,239.4
"1982, Friday, Mar 12",1.8335,240.1
"1982, Monday, Mar 15",1.8335,240.5
"1982, Tuesday, Mar 16",1.8335,241.6
"1982, Wednesday, Mar 17",1.8426,241.4
"1982, Thursday, Mar 18",1.8426,242.1
"1982, Friday, Mar 19",1.8426,244.0
"1982, Monday, Mar 22",1.8518,245.3
"1982, Tuesday, Mar 23",1.861,244.9
"1982, Wednesday, Mar 24",1.8517,243.6
"1982, Thursday, Mar 25",1.8517,245.35
"1982, Friday, Mar 26",1.8628,247.1
"1982, Monday, Mar 29",1.8628,247.2
"1982, Tuesday, Mar 30",1.8722,245.3
"1982, Wednesday, Mar 31",1.8722,248.25
"1982, Thursday, Apr 01",1.8722,246.2
"1982, Friday, Apr 02",1.8528,245.6
"1982, Monday, Apr 05",1.8628,248.4
"1982, Tuesday, Apr 06",1.8628,248.4
"1982, Wednesday, Apr 07",1.8628,245.9
"1982, Thursday, Apr 08",1.8628,248.75
"1982, Friday, Apr 09",1.8628,248.05
"1982, Monday, Apr 12",1.8628,248.0
"1982, Tuesday, Apr 13",1.8628,246.7
"1982, Wednesday, Apr 14",1.8628,247.45
"1982, Thursday, Apr 15",1.8628,248.4
"1982, Friday, Apr 16",1.8722,247.8
"1982, Monday, Apr 19",1.8628,245.0
"1982, Tuesday, Apr 20",1.8628,243.15
"1982, Wednesday, Apr 21",1.8628,243.2
"1982, Thursday, Apr 22",1.8517,242.8
"1982, Friday, Apr 23",1.8517,241.15
"1982, Monday, Apr 26",1.8443,238.4
"1982, Tuesday, Apr 27",1.8443,238.0
"1982, Wednesday, Apr 28",1.8333,237.25
"1982, Thursday, Apr 29",1.8333,235.9
"1982, Friday, Apr 30",1.8333,235.85
"1982, Monday, May 03",1.8222,236.6
"1982, Tuesday, May 04",1.8222,237.55
"1982, Wednesday, May 05",1.8222,234.1
"1982, Thursday, May 06",1.8131,233.55
"1982, Friday, May 07",1.7986,232.92
"1982, Monday, May 10",1.7986,233.3
"1982, Tuesday, May 11",1.7986,232.85
"1982, Wednesday, May 12",1.7986,233.8
"1982, Thursday, May 13",1.7986,235.2
"1982, Friday, May 14",1.813,235.25
"1982, Monday, May 17",1.813,236.85
"1982, Tuesday, May 18",1.813,237.25
"1982, Wednesday, May 19",1.813,238.95
"1982, Thursday, May 20",1.813,238.3
"1982, Friday, May 21",1.813,237.6
"1982, Monday, May 24",1.813,238.4
"1982, Tuesday, May 25",1.813,240.2
"1982, Wednesday, May 26",1.813,240.4
"1982, Thursday, May 27",1.8239,242.9
"1982, Friday, May 28",1.8331,243.3
"1982, Monday, May 31",,
"1982, Tuesday, Jun 01",1.8331,244.3
"1982, Wednesday, Jun 02",1.8514,244.7
"1982, Thursday, Jun 03",1.8514,243.2
"1982, Friday, Jun 04",1.8514,243.65
"1982, Monday, Jun 07",1.8514,245.65
"1982, Tuesday, Jun 08",1.8625,247.0
"1982, Wednesday, Jun 09",1.8756,248.95
"1982, Thursday, Jun 10",1.8756,249.3
"1982, Friday, Jun 11",1.8868,247.55
"1982, Monday, Jun 14",1.8755,250.65
"1982, Tuesday, Jun 15",1.9074,251.65
"1982, Wednesday, Jun 16",1.9074,252.85
"1982, Thursday, Jun 17",1.9226,254.5
"1982, Friday, Jun 18",1.9322,255.15
"1982, Monday, Jun 21",1.9322,257.15
"1982, Tuesday, Jun 22",1.9477,254.5
"1982, Wednesday, Jun 23",1.9477,256.0
"1982, Thursday, Jun 24",1.9398,252.4
"1982, Friday, Jun 25",1.9398,257.7
"1982, Monday, Jun 28",1.9515,258.95
"1982, Tuesday, Jun 29",1.9515,255.55
"1982, Wednesday, Jun 30",1.9358,255.0
"1982, Thursday, Jul 01",1.9358,255.95
"1982, Friday, Jul 02",1.9358,257.0
"1982, Monday, Jul 05",,
"1982, Tuesday, Jul 06",1.9358,257.7
"1982, Wednesday, Jul 07",1.9552,259.0
"1982, Thursday, Jul 08",1.9552,257.85
"1982, Friday, Jul 09",1.9552,255.8
"1982, Monday, Jul 12",1.9395,254.25
"1982, Tuesday, Jul 13",1.9395,257.5
"1982, Wednesday, Jul 14",1.9395,256.35
"1982, Thursday, Jul 15",1.9395,255.95
"1982, Friday, Jul 16",1.9395,254.05
"1982, Monday, Jul 19",1.9298,254.65
"1982, Tuesday, Jul 20",1.9298,253.75
"1982, Wednesday, Jul 21",1.9298,252.05
"1982, Thursday, Jul 22",1.9086,251.85
"1982, Friday, Jul 23",1.9086,249.2
"1982, Monday, Jul 26",1.8857,250.95
"1982, Tuesday, Jul 27",1.9026,252.3
"1982, Wednesday, Jul 28",1.9026,254.8
"1982, Thursday, Jul 29",1.9312,256.6
"1982, Friday, Jul 30",1.9312,258.1
"1982, Monday, Aug 02",1.9312,256.6
"1982, Tuesday, Aug 03",1.9196,257.85
"1982, Wednesday, Aug 04",1.9292,260.35
"1982, Thursday, Aug 05",1.9446,259.85
"1982, Friday, Aug 06",1.9525,260.1
"1982, Monday, Aug 09",1.9661,262.3
"1982, Tuesday, Aug 10",1.9661,263.9
"1982, Wednesday, Aug 11",1.9661,263.4
"1982, Thursday, Aug 12",1.9661,263.2
"1982, Friday, Aug 13",1.9661,262.1
"1982, Monday, Aug 16",1.9661,264.05
"1982, Tuesday, Aug 17",1.9661,264.05
"1982, Wednesday, Aug 18",1.9661,259.2
"1982, Thursday, Aug 19",1.9484,258.35
"1982, Friday, Aug 20",1.9328,254.75
"1982, Monday, Aug 23",1.9193,254.6
"1982, Tuesday, Aug 24",1.9193,251.5
"1982, Wednesday, Aug 25",1.9078,251.0
"1982, Thursday, Aug 26",1.9173,253.2
"1982, Friday, Aug 27",1.9173,256.6
"1982, Monday, Aug 30",1.9326,260.95
"1982, Tuesday, Aug 31",1.9501,261.1
"1982, Wednesday, Sep 01",1.9501,259.1
"1982, Thursday, Sep 02",1.9501,256.2
"1982, Friday, Sep 03",1.9305,257.8
"1982, Monday, Sep 06",,
"1982, Tuesday, Sep 07",1.944,257.45
"1982, Wednesday, Sep 08",1.944,259.5
"1982, Thursday, Sep 09",1.944,258.65
"1982, Friday, Sep 10",1.944,262.65
"1982, Monday, Sep 13",1.9577,264.0
"1982, Tuesday, Sep 14",1.9577,263.25
"1982, Wednesday, Sep 15",1.9577,263.4
"1982, Thursday, Sep 16",1.9577,263.4
"1982, Friday, Sep 17",1.9577,263.2
"1982, Monday, Sep 20",1.9577,264.5
"1982, Tuesday, Sep 21",1.9577,265.1
"1982, Wednesday, Sep 22",1.9479,262.65
"1982, Thursday, Sep 23",1.9577,264.95
"1982, Friday, Sep 24",1.9675,266.25
"1982, Monday, Sep 27",1.9675,269.8
"1982, Tuesday, Sep 28",1.9832,270.0
"1982, Wednesday, Sep 29",1.9832,268.85
"1982, Thursday, Sep 30",1.9733,268.3
"1982, Friday, Oct 01",1.9733,268.9
"1982, Monday, Oct 04",1.9753,273.5
"1982, Tuesday, Oct 05",1.9931,273.8
"1982, Wednesday, Oct 06",1.9931,273.95
"1982, Thursday, Oct 07",1.9931,270.1
"1982, Friday, Oct 08",1.9632,267.7
"1982, Monday, Oct 11",,
"1982, Tuesday, Oct 12",1.9612,262.6
"1982, Wednesday, Oct 13",1.9612,266.65
"1982, Thursday, Oct 14",1.9729,268.5
"1982, Friday, Oct 15",1.9827,269.7
"1982, Monday, Oct 18",1.9827,268.55
"1982, Tuesday, Oct 19",1.9947,268.3
"1982, Wednesday, Oct 20",1.9947,270.4
"1982, Thursday, Oct 21",2.0046,273.0
"1982, Friday, Oct 22",2.0046,273.45
"1982, Monday, Oct 25",2.0046,276.55
"1982, Tuesday, Oct 26",2.0046,276.05
"1982, Wednesday, Oct 27",2.0046,276.05
"1982, Thursday, Oct 28",2.0046,277.45
"1982, Friday, Oct 29",2.0046,277.1
"1982, Monday, Nov 01",2.0046,276.9
"1982, Tuesday, Nov 02",,
"1982, Wednesday, Nov 03",2.0046,276.52
"1982, Thursday, Nov 04",2.0046,277.65
"1982, Friday, Nov 05",2.0046,275.8
"1982, Monday, Nov 08",2.0046,276.0
"1982, Tuesday, Nov 09",2.0046,271.15
"1982, Wednesday, Nov 10",2.0046,268.1
"1982, Thursday, Nov 11",,
"1982, Friday, Nov 12",2.0046,268.5
"1982, Monday, Nov 15",2.0046,267.35
"1982, Tuesday, Nov 16",2.0046,263.7
"1982, Wednesday, Nov 17",2.0046,263.3
"1982, Thursday, Nov 18",2.0046,262.7
"1982, Friday, Nov 19",2.0046,257.85
"1982, Monday, Nov 22",1.9906,254.65
"1982, Tuesday, Nov 23",1.9906,257.05
"1982, Wednesday, Nov 24",1.9906,250.7
"1982, Thursday, Nov 25",,
"1982, Friday, Nov 26",1.9906,250.2
"1982, Monday, Nov 29",1.9906,250.35
"1982, Tuesday, Nov 30",1.9906,249.2
"1982, Wednesday, Dec 01",1.9687,248.6
"1982, Thursday, Dec 02",1.9687,248.1
"1982, Friday, Dec 03",1.9569,246.6
"1982, Monday, Dec 06",1.9569,245.1
"1982, Tuesday, Dec 07",1.9412,242.75
"1982, Wednesday, Dec 08",1.9412,242.15
"1982, Thursday, Dec 09",1.9412,245.7
"1982, Friday, Dec 10",1.951,244.25
"1982, Monday, Dec 13",1.951,247.3
"1982, Tuesday, Dec 14",1.9646,244.3
"1982, Wednesday, Dec 15",1.9509,244.95
"1982, Thursday, Dec 16",1.9509,243.3
"1982, Friday, Dec 17",1.9372,244.15
"1982, Monday, Dec 20",1.9372,244.45
"1982, Tuesday, Dec 21",1.9372,242.1
"1982, Wednesday, Dec 22",1.9372,240.5
"1982, Thursday, Dec 23",1.9372,238.1
"1982, Friday, Dec 24",1.9372,238.1
"1982, Monday, Dec 27",1.9372,237.5
"1982, Tuesday, Dec 28",1.9372,234.65
"1982, Wednesday, Dec 29",1.9275,232.8
"1982, Thursday, Dec 30",1.9275,234.5
"1982, Friday, Dec 31",1.9275,234.7
"1983, Monday, Jan 03",1.9275,232.0
"1983, Tuesday, Jan 04",1.914,229.8
"1983, Wednesday, Jan 05",1.914,229.1
"1983, Thursday, Jan 06",1.9044,229.8
"1983, Friday, Jan 07",1.9044,229.1
"1983, Monday, Jan 10",1.9044,226.75
"1983, Tuesday, Jan 11",1.8949,228.8
"1983, Wednesday, Jan 12",1.9082,230.55
"1983, Thursday, Jan 13",1.9082,229.1
"1983, Friday, Jan 14",1.9082,230.5
"1983, Monday, Jan 17",1.9082,229.6
"1983, Tuesday, Jan 18",1.9082,232.15
"1983, Wednesday, Jan 19",1.9234,234.95
"1983, Thursday, Jan 20",1.9368,235.3
"1983, Friday, Jan 21",1.9368,236.35
"1983, Monday, Jan 24",1.9504,240.2
"1983, Tuesday, Jan 25",1.9621,235.85
"1983, Wednesday, Jan 26",1.9464,235.35
"1983, Thursday, Jan 27",1.9464,235.85
"1983, Friday, Jan 28",1.9464,236.4
"1983, Monday, Jan 31",1.9464,239.85
"1983, Tuesday, Feb 01",1.9639,239.4
"1983, Wednesday, Feb 02",1.9717,242.2
"1983, Thursday, Feb 03",1.9717,238.85
"1983, Friday, Feb 04",1.9796,240.3
"1983, Monday, Feb 07",1.9796,237.45
"1983, Tuesday, Feb 08",1.9658,237.45
"1983, Wednesday, Feb 09",1.9658,236.6
"1983, Thursday, Feb 10",1.956,235.1
"1983, Friday, Feb 11",1.956,234.7
"1983, Monday, Feb 14",1.956,234.8
"1983, Tuesday, Feb 15",1.956,234.1
"1983, Wednesday, Feb 16",1.956,232.6
"1983, Thursday, Feb 17",1.956,233.2
"1983, Friday, Feb 18",1.956,233.6
"1983, Monday, Feb 21",,
"1983, Tuesday, Feb 22",1.956,233.8
"1983, Wednesday, Feb 23",1.9735,235.05
"1983, Thursday, Feb 24",1.9736,234.2
"1983, Friday, Feb 25",1.9736,235.05
"1983, Monday, Feb 28",1.9736,237.85
"1983, Tuesday, Mar 01",1.9914,239.0
"1983, Wednesday, Mar 02",1.9914,237.3
"1983, Thursday, Mar 03",1.9814,236.4
"1983, Friday, Mar 04",1.9814,235.8
"1983, Monday, Mar 07",1.9676,235.7
"1983, Tuesday, Mar 08",1.9676,238.7
"1983, Wednesday, Mar 09",1.9774,237.7
"1983, Thursday, Mar 10",1.9774,237.05
"1983, Friday, Mar 11",1.9675,238.45
"1983, Monday, Mar 14",1.9812,237.5
"1983, Tuesday, Mar 15",1.9674,237.25
"1983, Wednesday, Mar 16",1.9674,237.25
"1983, Thursday, Mar 17",1.9674,239.1
"1983, Friday, Mar 18",1.9792,240.3
"1983, Monday, Mar 21",1.9792,240.85
"1983, Tuesday, Mar 22",1.9892,239.4
"1983, Wednesday, Mar 23",1.9892,238.8
"1983, Thursday, Mar 24",1.9991,237.25
"1983, Friday, Mar 25",1.9991,237.1
"1983, Monday, Mar 28",1.9991,240.1
"1983, Tuesday, Mar 29",1.9991,240.05
"1983, Wednesday, Mar 30",1.9991,239.8
"1983, Thursday, Mar 31",1.9991,239.0
"1983, Friday, Apr 01",1.9991,239.6
"1983, Monday, Apr 04",1.9991,239.0
"1983, Tuesday, Apr 05",1.9991,237.65
"1983, Wednesday, Apr 06",1.9991,237.05
"1983, Thursday, Apr 07",1.9991,237.9
"1983, Friday, Apr 08",1.997,239.3
"1983, Monday, Apr 11",1.997,237.95
"1983, Tuesday, Apr 12",1.997,238.05
